Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-381038,"XBP1(S) activates chaperone genes",5,95,0.0066568565622591265,1.34786243946583E-4,0.004178373562344073,47,47,0.0034617367606982396,9606,Homo sapiens,"XBP1;DNAJB9;PDIA6","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791066;R-HSA-1791064;R-HSA-1791128;R-HSA-8953356;R-HSA-1791071;R-HSA-1791134;R-HSA-1791069;R-HSA-1791133;R-HSA-1791123;R-HSA-1791058;R-HSA-1791122;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791124;R-HSA-1791060;R-HSA-1791114;R-HSA-1791177;R-HSA-1791112;R-HSA-1791054;R-HSA-1791116;R-HSA-1791169;R-HSA-1791108;R-HSA-1791172;R-HSA-1791096;R-HSA-1791167;R-HSA-1791102;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791088;R-HSA-1791158;R-HSA-1791157;R-HSA-1791092;R-HSA-1791156;R-HSA-8953336;R-HSA-1791083;R-HSA-1791144;R-HSA-1791084;R-HSA-1791075;R-HSA-1791139;R-HSA-1791138;R-HSA-1791137;R-HSA-1791143;R-HSA-1791076"
R-HSA-5683826,"Surfactant metabolism",4,52,0.0036437530656576273,1.5699460753204608E-4,0.004552843618429336,8,29,0.0021359652353244458,9606,Homo sapiens,"PSAP","","R-HSA-5686359;R-HSA-5683879;R-HSA-5687284;R-HSA-5685296;R-HSA-5685649;R-HSA-5686286;R-HSA-5686335;R-HSA-5686301"
R-HSA-180897,"Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization",2,4,2.8028869735827904E-4,2.0374123052702142E-4,0.005501013224229578,1,2,1.4730794726375488E-4,9606,Homo sapiens,"SLC25A6","","R-HSA-180905"
R-HSA-5358351,"Signaling by Hedgehog",6,168,0.01177212528904772,2.3079870821873794E-4,0.005769967705468448,15,82,0.00603962583781395,9606,Homo sapiens,"TUBA1A;OS9;PSMC3;RPN1;P4HB;TUBA4A","","R-HSA-5362448;R-HSA-5635868;R-HSA-5362459;R-HSA-5610757;R-HSA-5358336;R-HSA-5610758;R-HSA-5362437;R-HSA-5358340;R-HSA-5610754;R-HSA-5610733;R-HSA-5362441;R-HSA-5610767;R-HSA-5635854;R-HSA-5610760;R-HSA-5362412"
R-HSA-2262752,"Cellular responses to stress",14,952,0.0667087099712704,2.9934846563473005E-4,0.006885014709598791,62,381,0.028062163953745306,9606,Homo sapiens,"XBP1;TUBA1A;PSMC3;RPN1;DNAJB9;P4HB;ATP6V0E2;PDIA6;TUBA4A","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791121;R-HSA-8932355;R-HSA-9645598;R-HSA-1791124;R-HSA-9640195;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-9646468;R-HSA-1791116;R-HSA-1791108;R-HSA-1791167;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-1791137;R-HSA-9645608;R-HSA-1791143;R-HSA-1791066;R-HSA-3341296;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791060;R-HSA-1791177;R-HSA-1791054;R-HSA-1791169;R-HSA-1791172;R-HSA-1791096;R-HSA-9639286;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-9640167;R-HSA-5618080;R-HSA-1791084;R-HSA-1791075;R-HSA-9640168;R-HSA-9640175;R-HSA-1234159;R-HSA-1791076"
R-HSA-8953897,"Cellular responses to stimuli",14,970,0.06797000910938267,3.6192699002624007E-4,0.007962393780577282,62,412,0.030345437136333506,9606,Homo sapiens,"XBP1;TUBA1A;PSMC3;RPN1;DNAJB9;P4HB;ATP6V0E2;PDIA6;TUBA4A","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791121;R-HSA-8932355;R-HSA-9645598;R-HSA-1791124;R-HSA-9640195;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-9646468;R-HSA-1791116;R-HSA-1791108;R-HSA-1791167;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-1791137;R-HSA-9645608;R-HSA-1791143;R-HSA-1791066;R-HSA-3341296;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791060;R-HSA-1791177;R-HSA-1791054;R-HSA-1791169;R-HSA-1791172;R-HSA-1791096;R-HSA-9639286;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-9640167;R-HSA-5618080;R-HSA-1791084;R-HSA-1791075;R-HSA-9640168;R-HSA-9640175;R-HSA-1234159;R-HSA-1791076"
R-HSA-5358346,"Hedgehog ligand biogenesis",4,72,0.005045196552449022,5.343553231185183E-4,0.011221461785488884,7,15,0.0011048096044781615,9606,Homo sapiens,"OS9;PSMC3;RPN1;P4HB","","R-HSA-5358336;R-HSA-5362448;R-HSA-5362437;R-HSA-5358340;R-HSA-5362441;R-HSA-5362459;R-HSA-5362412"
R-HSA-5688849,"Defective CSF2RB causes SMDP5",2,8,5.605773947165581E-4,8.042474416795065E-4,0.015280701391910623,1,1,7.365397363187744E-5,9606,Homo sapiens,"PSAP","","R-HSA-5688884"
R-HSA-5688890,"Defective CSF2RA causes SMDP4",2,8,5.605773947165581E-4,8.042474416795065E-4,0.015280701391910623,1,1,7.365397363187744E-5,9606,Homo sapiens,"PSAP","","R-HSA-5688899"
R-HSA-8852276,"The role of GTSE1 in G2/M progression after G2 checkpoint",4,83,0.00581599047018429,9.046724299009989E-4,0.01611644209036378,4,10,7.365397363187744E-4,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-8852306;R-HSA-8852354;R-HSA-8852298;R-HSA-8852280"
R-HSA-597592,"Post-translational protein modification",18,1598,0.11197533459463248,9.480260053155165E-4,0.01611644209036378,38,526,0.03874199013036753,9606,Homo sapiens,"PDIA3;ARF1;TMED10;RPN1;PDIA6;PRSS23;TUBA4A;DDOST;UCHL1;TUBA1A;HNRNPK;OS9;PSMC3;TMED2;P4HB","","R-HSA-5694418;R-HSA-203973;R-HSA-4570499;R-HSA-446209;R-HSA-5694417;R-HSA-8955712;R-HSA-6809006;R-HSA-6809003;R-HSA-8956184;R-HSA-548890;R-HSA-6809011;R-HSA-8955869;R-HSA-5689539;R-HSA-6809010;R-HSA-5665871;R-HSA-5690319;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-5694409;R-HSA-8867288;R-HSA-6807877;R-HSA-8956140;R-HSA-6807875;R-HSA-6807872;R-HSA-5665854;R-HSA-8952289;R-HSA-8865774;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-8867370;R-HSA-5694439;R-HSA-8955706;R-HSA-5694446;R-HSA-901047;R-HSA-8866105;R-HSA-5694441"
R-HSA-162909,"Host Interactions of HIV factors",5,151,0.010580898325275033,0.001096648835269276,0.017546381364308417,4,54,0.0039773145761213815,9606,Homo sapiens,"ARF1;PSMC3;RPN1;SLC25A6","","R-HSA-180603;R-HSA-180905;R-HSA-200879;R-HSA-180573"
R-HSA-199991,"Membrane Trafficking",10,667,0.04673814028449303,0.0020793632258464534,0.033269811613543254,46,219,0.01613022022538116,9606,Homo sapiens,"TPD52;ARF1;TUBA1A;TMED10;YWHAQ;SURF4;TMED2;TUBA4A","","R-HSA-8849350;R-HSA-421831;R-HSA-6811427;R-HSA-5694418;R-HSA-432706;R-HSA-8847875;R-HSA-6811426;R-HSA-203973;R-HSA-5694417;R-HSA-6809006;R-HSA-421836;R-HSA-1445149;R-HSA-6809003;R-HSA-8847883;R-HSA-421835;R-HSA-8849353;R-HSA-432712;R-HSA-421833;R-HSA-8847880;R-HSA-6809011;R-HSA-6809010;R-HSA-2316347;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-190877;R-HSA-5694409;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694439;R-HSA-6811414;R-HSA-6811412;R-HSA-350769;R-HSA-6811411;R-HSA-1454689;R-HSA-6811423;R-HSA-5694446;R-HSA-190520;R-HSA-191737;R-HSA-6811418;R-HSA-6811417;R-HSA-5694441"
R-HSA-162906,"HIV Infection",6,264,0.018499054025646416,0.0023680804474208728,0.03552120671131309,7,160,0.01178463578110039,9606,Homo sapiens,"XRCC6;ARF1;PSMC3;RPN1;SLC25A6","","R-HSA-175174;R-HSA-175258;R-HSA-180603;R-HSA-180905;R-HSA-175177;R-HSA-200879;R-HSA-180573"
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",2,15,0.0010510826150935463,0.002762812083297428,0.040904405292472856,1,5,3.682698681593872E-4,9606,Homo sapiens,"XBP1","","R-HSA-1791121"
R-HSA-109581,"Apoptosis",5,192,0.013453857473197394,0.003102872444950444,0.040904405292472856,6,141,0.01038521028209472,9606,Homo sapiens,"PSMC3;YWHAQ;MAGED1;C1QBP;RPN1","","R-HSA-211715;R-HSA-139906;R-HSA-139899;R-HSA-9645694;R-HSA-374699;R-HSA-9645692"
R-HSA-5687613,"Diseases associated with surfactant metabolism",2,16,0.0011211547894331162,0.003133116152774784,0.040904405292472856,3,7,5.155778154231421E-4,9606,Homo sapiens,"PSAP","","R-HSA-5688884;R-HSA-5688899;R-HSA-5687875"
R-HSA-6798695,"Neutrophil degranulation",8,480,0.03363464368299348,0.0031464927148056043,0.040904405292472856,5,10,7.365397363187744E-4,9606,Homo sapiens,"PGRMC1;XRCC6;CYB5R3;PSMC3;PSAP;SURF4;RPN1;DDOST","","R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798748"
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",2,17,0.0011912269637726859,0.0035253529560016483,0.043332247967202475,1,10,7.365397363187744E-4,9606,Homo sapiens,"XBP1","","R-HSA-1791121"
R-HSA-5610787,"Hedgehog 'off' state",4,124,0.00868894961810665,0.003852938392087113,0.043332247967202475,6,32,0.002356927156220078,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-5610757;R-HSA-5610758;R-HSA-5610754;R-HSA-5610733;R-HSA-5610767;R-HSA-5610760"
R-HSA-5362768,"Hh mutants are degraded by ERAD",3,61,0.004274402634713756,0.0038860533603212177,0.043332247967202475,5,6,4.419238417912646E-4,9606,Homo sapiens,"OS9;PSMC3;RPN1","","R-HSA-5387392;R-HSA-5362450;R-HSA-5483238;R-HSA-5387386;R-HSA-5387389"
R-HSA-391160,"Signal regulatory protein family interactions",2,18,0.0012612991381122556,0.0039392952697456796,0.043332247967202475,1,10,7.365397363187744E-4,9606,Homo sapiens,"PSAP","","R-HSA-391155"
R-HSA-5387390,"Hh mutants abrogate ligand secretion",3,64,0.004484619157732465,0.004439410469456617,0.04883351516402279,5,7,5.155778154231421E-4,9606,Homo sapiens,"OS9;PSMC3;RPN1","","R-HSA-5387392;R-HSA-5362450;R-HSA-5483238;R-HSA-5387386;R-HSA-5387389"
R-HSA-5678895,"Defective CFTR causes cystic fibrosis",3,66,0.004624763506411604,0.004833513288600266,0.05309108363050208,4,7,5.155778154231421E-4,9606,Homo sapiens,"OS9;PSMC3;RPN1","","R-HSA-8866854;R-HSA-8866858;R-HSA-8866857;R-HSA-8866856"
R-HSA-5687868,"Defective SFTPA2 causes IPF",1,1,7.007217433956976E-5,0.005102386331780173,0.05309108363050208,1,1,7.365397363187744E-5,9606,Homo sapiens,"PSAP","","R-HSA-5687875"
R-HSA-1483148,"Synthesis of PG",2,21,0.001471515661130965,0.005309108363050208,0.05309108363050208,1,5,3.682698681593872E-4,9606,Homo sapiens,"PLD3","","R-HSA-1483142"
R-HSA-190840,"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",2,22,0.0015415878354705346,0.005807634171760001,0.05694079089081017,1,2,1.4730794726375488E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-190520"
R-HSA-114608,"Platelet degranulation ",4,141,0.009880176581879336,0.006037523783781418,0.05694079089081017,3,11,8.101937099506518E-4,9606,Homo sapiens,"PSAP;TAGLN2;MAGED2;TUBA4A","","R-HSA-482772;R-HSA-481007;R-HSA-351341"
R-HSA-190872,"Transport of connexons to the plasma membrane",2,23,0.0016116600098101043,0.006326754543423352,0.05694079089081017,1,3,2.209619208956323E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-190520"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",4,148,0.010370681802256324,0.007136205288344133,0.0642258475950972,3,14,0.0010311556308462842,9606,Homo sapiens,"PSAP;TAGLN2;MAGED2;TUBA4A","","R-HSA-482772;R-HSA-481007;R-HSA-351341"
R-HSA-168249,"Innate Immune System",14,1334,0.09347628056898606,0.0071803920999667925,0.06462352889970113,17,710,0.05229432127863298,9606,Homo sapiens,"CHGA;PGRMC1;XRCC6;CYB5R3;PSMC3;PSAP;SURF4;RPN1;ATP6V0E2;PLD3;DDOST","","R-HSA-1834939;R-HSA-2029471;R-HSA-1222516;R-HSA-5607731;R-HSA-5432852;R-HSA-3134821;R-HSA-6808566;R-HSA-6799350;R-HSA-879358;R-HSA-6798739;R-HSA-6800434;R-HSA-168951;R-HSA-6798751;R-HSA-5607724;R-HSA-6798748;R-HSA-166041;R-HSA-5432814"
R-HSA-389977,"Post-chaperonin tubulin folding pathway",2,25,0.001751804358489244,0.007425911676506525,0.06683320508855872,6,9,6.628857626868969E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-389972;R-HSA-389974;R-HSA-389964;R-HSA-389976;R-HSA-389963;R-HSA-389978"
R-HSA-5357801,"Programmed Cell Death",5,238,0.0166771774928176,0.007585102421229339,0.06769576371976438,6,197,0.014509832805479855,9606,Homo sapiens,"PSMC3;YWHAQ;MAGED1;C1QBP;RPN1","","R-HSA-211715;R-HSA-139906;R-HSA-139899;R-HSA-9645694;R-HSA-374699;R-HSA-9645692"
R-HSA-1445148,"Translocation of SLC2A4 (GLUT4) to the plasma membrane",3,81,0.005675846121505151,0.008461970464970547,0.06769576371976438,3,15,0.0011048096044781615,9606,Homo sapiens,"TUBA1A;YWHAQ;TUBA4A","","R-HSA-1454689;R-HSA-2316347;R-HSA-1445149"
R-HSA-77387,"Insulin receptor recycling",2,28,0.001962020881507953,0.009223728482017801,0.07125365209556533,2,6,4.419238417912646E-4,9606,Homo sapiens,"ATP6AP1;ATP6V0E2","","R-HSA-74723;R-HSA-5252133"
R-HSA-5653656,"Vesicle-mediated transport",10,827,0.05794968817882419,0.00930745058810456,0.07125365209556533,46,252,0.018560801355233116,9606,Homo sapiens,"TPD52;ARF1;TUBA1A;TMED10;YWHAQ;SURF4;TMED2;TUBA4A","","R-HSA-8849350;R-HSA-421831;R-HSA-6811427;R-HSA-5694418;R-HSA-432706;R-HSA-8847875;R-HSA-6811426;R-HSA-203973;R-HSA-5694417;R-HSA-6809006;R-HSA-421836;R-HSA-1445149;R-HSA-6809003;R-HSA-8847883;R-HSA-421835;R-HSA-8849353;R-HSA-432712;R-HSA-421833;R-HSA-8847880;R-HSA-6809011;R-HSA-6809010;R-HSA-2316347;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-190877;R-HSA-5694409;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694439;R-HSA-6811414;R-HSA-6811412;R-HSA-350769;R-HSA-6811411;R-HSA-1454689;R-HSA-6811423;R-HSA-5694446;R-HSA-190520;R-HSA-191737;R-HSA-6811418;R-HSA-6811417;R-HSA-5694441"
R-HSA-9020591,"Interleukin-12 signaling",3,84,0.00588606264452386,0.009335561034252926,0.07125365209556533,3,56,0.004124622523385137,9606,Homo sapiens,"ARF1;P4HB","","R-HSA-8950456;R-HSA-8950173;R-HSA-8950113"
R-HSA-389957,"Prefoldin mediated transfer of substrate  to CCT/TriC",2,29,0.002032093055847523,0.009861910963617881,0.07125365209556533,2,2,1.4730794726375488E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-389970;R-HSA-389980"
R-HSA-9645722,"Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function",1,2,1.4014434867913952E-4,0.010179093156509333,0.07125365209556533,1,1,7.365397363187744E-5,9606,Homo sapiens,"C1QBP","","R-HSA-9645766"
R-HSA-389960,"Formation of tubulin folding intermediates by CCT/TriC",2,30,0.0021021652301870925,0.010519201198156969,0.07363440838709878,2,2,1.4730794726375488E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-389954;R-HSA-389961"
R-HSA-1660514,"Synthesis of PIPs at the Golgi membrane",2,32,0.0022423095788662323,0.011890282247261852,0.08323197573083296,2,11,8.101937099506518E-4,9606,Homo sapiens,"ARF1","","R-HSA-1676152;R-HSA-1675883"
R-HSA-1236974,"ER-Phagosome pathway",4,173,0.012122486160745568,0.012117153029906569,0.08456182463296513,4,10,7.365397363187744E-4,9606,Homo sapiens,"PDIA3;SEC61A1;PSMC3;RPN1","","R-HSA-1236947;R-HSA-8863973;R-HSA-1236935;R-HSA-1236971"
R-HSA-83936,"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",2,33,0.002312381753205802,0.012603665599413172,0.08456182463296513,1,16,0.001178463578110039,9606,Homo sapiens,"SLC25A6","","R-HSA-163215"
R-HSA-9619483,"Activation of AMPK downstream of NMDARs",2,34,0.0023824539275453718,0.013335341759439512,0.08456182463296513,1,3,2.209619208956323E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-9619542"
R-HSA-390466,"Chaperonin-mediated protein folding",3,96,0.006726928736598697,0.013344161145155797,0.08456182463296513,5,19,0.0013994254990056714,9606,Homo sapiens,"TUBA1A;GAPDH;TUBA4A","","R-HSA-390470;R-HSA-389970;R-HSA-389954;R-HSA-389980;R-HSA-389961"
R-HSA-447115,"Interleukin-12 family signaling",3,96,0.006726928736598697,0.013344161145155797,0.08456182463296513,4,114,0.008396552994034029,9606,Homo sapiens,"ARF1;P4HB","","R-HSA-8950456;R-HSA-8950173;R-HSA-8950113;R-HSA-8950183"
R-HSA-5689603,"UCH proteinases",3,98,0.0068670730852778365,0.014093637438827522,0.08456182463296513,3,11,8.101937099506518E-4,9606,Homo sapiens,"UCHL1;PSMC3;RPN1","","R-HSA-5665854;R-HSA-5665871;R-HSA-5690319"
R-HSA-5619084,"ABC transporter disorders",3,99,0.006937145259617406,0.014477201275983842,0.08630585497104215,4,22,0.0016203874199013037,9606,Homo sapiens,"OS9;PSMC3;RPN1","","R-HSA-8866854;R-HSA-8866858;R-HSA-8866857;R-HSA-8866856"
