Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9630747,Diseases of Cellular Senescence,2,4,2.81E-04,0.039660236,1.401644704,0.792222339,3,3,2.44E-04,9606,Homo sapiens,Cdkn2a,,R-HSA-9646295;R-HSA-9630795;R-HSA-9630792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-6804754,Regulation of TP53 Expression,2,4,2.81E-04,0.039660236,1.401644704,0.792222339,4,5,4.06E-04,9606,Homo sapiens,Prdm1,,R-HSA-6804194;R-HSA-6804193;R-HSA-6804191;R-HSA-6804188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-4090294,SUMOylation of intracellular receptors,7,40,0.002807412,0.039800362,1.400112981,0.792222339,18,25,0.002031199,9606,Homo sapiens,Nr3c2;Nr3c1;Thrb;Sumo1;Nr1h3;Rora;Pparg,,R-HSA-4341025;R-HSA-4719436;R-HSA-4090390;R-HSA-4719424;R-HSA-4341070;R-HSA-4755494;R-HSA-4719448;R-HSA-4717461;R-HSA-4341073;R-HSA-4755419;R-HSA-4720446;R-HSA-4717521;R-HSA-4090408;R-HSA-4546386;R-HSA-4341048;R-HSA-4341016;R-HSA-4719413;R-HSA-4719447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1296052,Ca2+ activated K+ channels,3,10,7.02E-04,0.044594664,1.3507171,0.792222339,1,3,2.44E-04,9606,Homo sapiens,Kcnmb2,,R-HSA-1296037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-114604,GPVI-mediated activation cascade,7,43,0.003017967,0.054477732,1.263780985,0.792222339,20,25,0.002031199,9606,Homo sapiens,Lyn;Syk;Fcer1g;Lcp2;Pik3r3;Vav1;Pdk1,,R-HSA-114689;R-HSA-139842;R-HSA-442273;R-HSA-430158;R-HSA-114600;R-HSA-437932;R-HSA-434637;R-HSA-437162;R-HSA-437195;R-HSA-2316429;R-HSA-437192;R-HSA-429449;R-HSA-434633;R-HSA-434836;R-HSA-437936;R-HSA-453200;R-HSA-5684801;R-HSA-437118;R-HSA-453183;R-HSA-429497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5689896,Ovarian tumor domain proteases,7,43,0.003017967,0.054477732,1.263780985,0.792222339,7,14,0.001137472,9606,Homo sapiens,Otud7a;Rnf128;Ube2d1;Cdk1;Trim25;Pten;Nod1,,R-HSA-6783238;R-HSA-688136;R-HSA-936381;R-HSA-8865182;R-HSA-8940100;R-HSA-8873946;R-HSA-5690843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,3,11,7.72E-04,0.056130842,,0.792222339,3,4,3.25E-04,9606,Homo sapiens,Ap1s3;Ap1s2,,R-HSA-182263;R-HSA-182279;R-HSA-182286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-187042,TRKA activation by NGF,2,5,3.51E-04,0.058923467,,0.792222339,4,4,3.25E-04,9606,Homo sapiens,Ntrk1,,R-HSA-166544;R-HSA-190065;R-HSA-166538;R-HSA-166542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9646303,Evasion of Oncogene Induced Senescence Due to p14ARF Defects,1,1,7.02E-05,0.075080693,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9646295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9646304,Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects,1,1,7.02E-05,0.075080693,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9646295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5602410,TLR3 deficiency - HSE,1,1,7.02E-05,0.075080693,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Tlr3,,R-HSA-5602549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1538133,G0 and Early G1,6,38,0.002667041,0.080236694,,0.792222339,25,27,0.002193695,9606,Homo sapiens,E2f1;Cdk1;Tfdp2;Lin9,,R-HSA-1362261;R-HSA-8964492;R-HSA-1227670;R-HSA-1227671;R-HSA-8961934;R-HSA-8961665;R-HSA-8964482;R-HSA-1362270;R-HSA-8964550;R-HSA-8964561;R-HSA-8964498;R-HSA-8961619;R-HSA-8964567;R-HSA-8964588;R-HSA-8964525;R-HSA-8978926;R-HSA-8964513;R-HSA-8964580;R-HSA-8964475;R-HSA-1363303;R-HSA-8964465;R-HSA-8964531;R-HSA-188345;R-HSA-1363311;R-HSA-8964471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9013957,TLR3-mediated TICAM1-dependent programmed cell death,2,6,4.21E-04,0.080707963,,0.792222339,3,3,2.44E-04,9606,Homo sapiens,Casp8;Tlr3,,R-HSA-9013963;R-HSA-9013889;R-HSA-9013895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-111448,Activation of NOXA and translocation to mitochondria,2,6,4.21E-04,0.080707963,,0.792222339,2,5,4.06E-04,9606,Homo sapiens,E2f1;Tfdp2,,R-HSA-140217;R-HSA-4331327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-110056,MAPK3 (ERK1) activation,3,13,9.12E-04,0.082922195,,0.792222339,2,4,3.25E-04,9606,Homo sapiens,Il6ra;Cdk1;Jak2,,R-HSA-109857;R-HSA-112342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69236,G1 Phase,7,48,0.003368894,0.085594075,,0.792222339,6,14,0.001137472,9606,Homo sapiens,Lyn;E2f1;Cdkn2a;Tfdp2;Jak2;Cdkn2c,,R-HSA-182594;R-HSA-8942607;R-HSA-9018017;R-HSA-1226094;R-HSA-1226095;R-HSA-8941895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69231,Cyclin D associated events in G1,7,48,0.003368894,0.085594075,,0.792222339,6,14,0.001137472,9606,Homo sapiens,Lyn;E2f1;Cdkn2a;Tfdp2;Jak2;Cdkn2c,,R-HSA-182594;R-HSA-8942607;R-HSA-9018017;R-HSA-1226094;R-HSA-1226095;R-HSA-8941895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-68911,G2 Phase,2,7,4.91E-04,0.104527256,,0.792222339,2,2,1.62E-04,9606,Homo sapiens,E2f1,,R-HSA-187937;R-HSA-187959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9613829,Chaperone Mediated Autophagy,4,23,0.001614262,0.10775987,,0.792222339,15,19,0.001543711,9606,Homo sapiens,Ift88;Lamp2;Cetn4;Plin2,,R-HSA-9626256;R-HSA-9626039;R-HSA-9626235;R-HSA-9622840;R-HSA-9624158;R-HSA-9626242;R-HSA-9625188;R-HSA-9626276;R-HSA-9620197;R-HSA-9615721;R-HSA-9622831;R-HSA-9625196;R-HSA-9626060;R-HSA-9625197;R-HSA-9626253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2559580,Oxidative Stress Induced Senescence,13,114,0.008001123,0.116002185,,0.792222339,22,40,0.003249919,9606,Homo sapiens,Mapkapk3;Hist2h2be;E2f1;Cdkn2a;Tfdp2;Bmi1;Cdkn2c,,R-HSA-182594;R-HSA-6804998;R-HSA-3240787;R-HSA-6804996;R-HSA-3229138;R-HSA-3209111;R-HSA-6804879;R-HSA-450222;R-HSA-3209114;R-HSA-3240765;R-HSA-3240766;R-HSA-3209151;R-HSA-3229089;R-HSA-3222593;R-HSA-3223200;R-HSA-3240295;R-HSA-3240777;R-HSA-9645672;R-HSA-450333;R-HSA-3240783;R-HSA-3229102;R-HSA-3240782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-912631,Regulation of signaling by CBL,4,24,0.001684447,0.120575348,,0.792222339,4,7,5.69E-04,9606,Homo sapiens,Lyn;Syk;Pik3r3;Vav1,,R-HSA-879917;R-HSA-912629;R-HSA-912727;R-HSA-912627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-187706,Signalling to p38 via RIT and RIN,2,8,5.61E-04,0.129953607,,0.792222339,3,3,2.44E-04,9606,Homo sapiens,Ntrk1;Braf,,R-HSA-187698;R-HSA-187746;R-HSA-187697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-75158,TRAIL  signaling,2,8,5.61E-04,0.129953607,,0.792222339,5,6,4.87E-04,9606,Homo sapiens,Casp8;Tnfsf10,,R-HSA-141139;R-HSA-75187;R-HSA-141316;R-HSA-75238;R-HSA-75146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1679131,Trafficking and processing of endosomal TLR,3,16,0.001122965,0.131155211,,0.792222339,5,7,5.69E-04,9606,Homo sapiens,Ctss;Ctso;Tlr3,,R-HSA-1678921;R-HSA-1678920;R-HSA-1678927;R-HSA-1678981;R-HSA-1678998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,4,25,0.001754632,0.134009133,,0.792222339,12,12,9.75E-04,9606,Homo sapiens,E2f1;Tfdp2;Lin9,,R-HSA-8964475;R-HSA-8964492;R-HSA-8964525;R-HSA-8961665;R-HSA-8964465;R-HSA-8964513;R-HSA-8964482;R-HSA-8964498;R-HSA-8964531;R-HSA-8961619;R-HSA-188345;R-HSA-8964471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9630791,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9630792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5602566,TICAM1 deficiency - HSE,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Tlr3,,R-HSA-5602712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9645722,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9645766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9645723,Diseases of Programmed Cell Death,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9645766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9632697,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Cdkn2a,,R-HSA-9630792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5602415,UNC93B1 deficiency - HSE,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Tlr3,,R-HSA-5607838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5632927,Defective Mismatch Repair Associated With MSH3,1,2,1.40E-04,0.144528961,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Msh3,,R-HSA-5578663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-169131,Inhibition of PKR,1,2,1.40E-04,0.144528961,,0.792222339,1,2,1.62E-04,9606,Homo sapiens,Eif2ak2,,R-HSA-168896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
