Gene Name	deltaFC_Female	interaction_padj_Female	FC_Female_6hr_TGvsDMSO	padj_Female_6hr_TGvsDMSO	FC_Female_12hr_TGvsDMSO	padj_Female_12hr_TGvsDMSO
1810010D01Rik	-4.678270631	NA	2.200643391	0.406912784	-2.47762724	0.400049332
1810010H24Rik	0.074892205	0.906677182	0.06671538	0.79833257	0.141607585	0.60262361
1810011H11Rik	-2.514206365	NA	-0.321290877	0.777943358	-2.835497242	0.006595238
1810011O10Rik	0.055285502	0.912066553	1.023370486	6.83E-12	1.078655988	3.25E-10
1810012K16Rik	-0.772251503	0.70187698	-0.094246856	0.924473798	-0.866498359	0.351850919
1810013L24Rik	-0.028404722	0.922894647	0.182400897	0.058902229	0.153996175	0.173431622
1810014B01Rik	0.269862574	0.686086277	-0.108351116	0.728644168	0.161511458	0.627929672
1810019D21Rik	-0.271859812	0.661035754	-0.645336412	0.005704335	-0.917196224	0.000485677
1810020O05Rik	-2.102838315	NA	0.796147869	0.585099137	-1.306690446	0.379727926
1810021B22Rik	0.36368269	0.473523086	-0.033960843	0.905353018	0.329721846	0.205173033
1810022K09Rik	0.349420847	0.322207568	0.147867436	0.420044554	0.497288283	0.005529088
1810024B03Rik	0.758628366	NA	0.383441849	0.719980396	1.142070215	0.205729964
1810026B05Rik	-1.004968951	8.35E-07	1.446976144	2.51E-35	0.442007193	0.002435434
1810026J23Rik	0.09787076	0.672442234	0.068498124	0.504197152	0.166368884	0.108827383
1810030O07Rik	0.015406509	0.950289849	0.139795966	0.070658522	0.155202476	0.077650076
1810032O08Rik	0.376942446	0.312935392	2.312315086	9.38E-54	2.689257532	7.25E-51
1810034E14Rik	-0.97340085	0.0308	-1.983221192	2.31E-23	-2.956622042	8.35E-27
1810037I17Rik	0.151319167	0.606068932	-0.31837278	0.005232515	-0.167053613	0.234840701
1810041H14Rik	0.648914759	NA	-0.698222643	0.358517608	-0.049307885	0.965231803
1810041L15Rik	0.23294273	0.444947098	0.400964436	0.00138741	0.633907166	1.09E-05
1810043G02Rik	-0.31231561	0.112179634	-0.21421035	0.03249919	-0.526525961	1.00E-06
1810043H04Rik	0.137011909	0.7729718	-0.30484314	0.078601653	-0.167831231	0.434344459
1810044D09Rik	0.190125244	0.799410415	-0.301233551	0.29669543	-0.111108307	0.759563972
1810055G02Rik	-0.153455064	0.766890734	0.292953962	0.131808125	0.139498897	0.562271362
1810058I24Rik	0.30707131	0.107288736	0.085909114	0.431730159	0.392980424	0.000245247
1810062G17Rik	-0.144477269	0.804086531	-0.461400717	0.028809797	-0.605877986	0.007931294
1810062O18Rik	0.568156221	0.74793409	0.77260766	0.24761621	1.340763881	0.074577115
2010001A14Rik	0.592985034	0.450021507	-0.936788971	0.005221524	-0.343803937	0.416309255
2010012O05Rik	-0.08294739	0.782608078	-0.062015924	0.6278649	-0.144963314	0.266822689
2010016I18Rik	2.231461371	NA	1.110426685	0.206784632	3.341888056	0.000668111
2010107E04Rik	0.06774161	0.869064873	-0.279663816	0.040326427	-0.211922206	0.188729571
2010107G12Rik	-0.923126037	0.392921226	-0.660482102	0.19077515	-1.583608138	0.003440411
2010107G23Rik	0.143755059	0.652914978	-0.141093582	0.292751881	0.002661477	0.989307106
2010109A12Rik	2.242809203	NA	-1.402797331	0.138481295	0.840011872	0.451646525
2010111I01Rik	0.059752315	0.815223835	-0.045880249	0.67873247	0.013872066	0.916791511
2010204K13Rik	0.169528774	0.704371075	-0.436632903	0.008839754	-0.267104129	0.17324229
2010300C02Rik	-0.741769279	5.19E-05	-0.738416233	5.80E-13	-1.480185513	4.84E-35
2010308F09Rik	0.254166908	NA	-1.196846977	0.580402511	-0.942680069	0.701797252
2010315B03Rik	0.307216525	0.331465843	0.193382358	0.209053873	0.500598883	0.001593795
2010320M18Rik	0.275572479	0.347311663	0.152512328	0.290679011	0.428084807	0.003967386
2200002D01Rik	0.914163308	NA	-1.136465054	0.370493685	-0.222301746	0.914423773
2200002J24Rik	0.039392041	0.969601561	-1.393107439	2.96E-06	-1.353715398	3.97E-05
2210010C04Rik	-3.193847067	0.27489603	-0.194323878	0.913549696	-3.388170946	0.03015481
2210011C24Rik	0.236536569	0.879	0.689217313	0.209	0.925753882	0.12
2210013O21Rik	-0.137991545	0.551652549	0.123643325	0.224463237	-0.014348221	0.918369632
2210015D19Rik	0.269373449	0.343076618	0.098726435	0.501760536	0.368099884	0.012291479
2210016F16Rik	0.170879392	0.477229437	-0.069009833	0.569451635	0.101869559	0.432054376
2210016L21Rik	-0.058163694	0.870254982	-0.468080006	2.29E-05	-0.5262437	3.39E-05
2210018M11Rik	-0.043971186	0.888	0.002872743	0.984	-0.041098443	0.767
2210019I11Rik	-1.07797993	0.005450439	-1.550782706	3.60E-15	-2.628762636	4.08E-28
2210039B01Rik	1.381213324	NA	-0.755098046	0.624991549	0.626115278	0.721750344
2210404O09Rik	0.195697411	0.771673896	0.012208682	0.96950238	0.207906093	0.503371543
2210406O10Rik	0.00313064	0.998	-0.414770301	0.375	-0.411639662	0.42
2210408F21Rik	0.652224946	0.005532556	0.189909329	0.187577548	0.842134276	5.38E-09
2210408I21Rik	-0.634285459	0.091005108	-0.102872363	0.663396061	-0.737157822	0.000526601
2210416O15Rik	-1.128936299	0.383083883	0.360612248	0.604634805	-0.768324051	0.276801253
2210417A02Rik	-0.272905709	NA	-1.144147279	0.330236075	-1.417052988	0.295985466
2300009A05Rik	0.087024198	0.784532094	-0.185164143	0.11294464	-0.098139945	0.500976586
2310001H17Rik	-1.017961798	0.547943129	0.11512289	0.894904377	-0.902838908	0.303913143
2310009A05Rik	-0.144740267	0.679826538	0.279405465	0.038212902	0.134665198	0.424034386
2310009B15Rik	0.140898503	0.77897966	0.257216314	0.161318178	0.398114817	0.055909654
2310010G23Rik	-0.121661189	0.936676321	0.517753985	0.343939849	0.396092795	0.511909312
2310010J17Rik	-0.327296876	0.554688492	-0.47550144	0.035145737	-0.802798316	0.001496602
2310011J03Rik	0.250725862	0.178780113	0.390162839	5.14E-06	0.640888702	4.02E-11
2310015A10Rik	-0.22556104	0.548447539	-0.845959439	3.05E-09	-1.071520479	5.65E-11
2310022A10Rik	0.014516812	0.962287545	0.35952051	3.62E-05	0.374037322	0.000224483
2310022B05Rik	-0.200528343	0.124294348	-0.43996932	2.99E-13	-0.640497663	1.50E-20
2310030G06Rik	-0.180500201	0.374293452	-0.166636565	0.073222764	-0.347136766	0.000551868
2310033P09Rik	-0.716328696	0.000296637	-0.525813311	2.06E-06	-1.242142007	2.41E-22
2310034G01Rik	-0.090969031	0.893	-0.499856021	0.0227	-0.590825053	0.0166
2310035C23Rik	-0.100674994	0.673569375	-0.039587194	0.726361119	-0.140262188	0.199646013
2310036O22Rik	0.038416288	0.873268953	0.223385437	0.003630429	0.261801726	0.002746585
2310039H08Rik	0.036918966	0.937615929	0.010412946	0.958186863	0.047331912	0.819361736
2310040G24Rik	0.453359297	0.28302749	0.500187851	0.008004323	0.953547148	1.01E-05
2310045N01Rik	0.090100972	0.76738768	0.388930406	0.000193086	0.479031378	5.23E-05
2310047M10Rik	-0.089027606	0.768882538	0.611546896	9.35E-10	0.522519289	8.81E-06
2310057M21Rik	0.071163514	0.834394812	0.225320088	0.059267415	0.296483602	0.027854669
2310061I04Rik	-0.025805653	0.936864563	0.145254258	0.1769665	0.119448605	0.347910222
2310067B10Rik	-0.353019307	0.018176328	-0.527655211	5.69E-12	-0.880674518	5.04E-24
2310068J16Rik	-0.342714104	0.665556238	0.5979356	0.055251144	0.255221496	0.512468462
2310069G16Rik	-0.265046696	NA	-0.119658017	0.920677807	-0.384704713	0.774321885
2400006E01Rik	1.896033355	NA	0.56713706	0.702166713	2.463170414	0.147953556
2410002F23Rik	0.114783688	0.638325707	-0.004968255	0.968832363	0.109815434	0.354005821
2410004B18Rik	-0.028551445	0.942038826	0.238787443	0.053747379	0.210235998	0.146145886
2410006H16Rik	0.783924822	0.00357	2.224769183	2.90E-57	3.008694005	6.21E-77
2410015M20Rik	0.348720074	0.15796887	-0.110137761	0.427499227	0.238582313	0.094508149
2410016O06Rik	0.019215027	0.965321311	0.471684637	0.00016757	0.490899664	0.000714429
2410021H03Rik	-0.19676634	0.724876191	-0.737674848	0.00017555	-0.934441188	2.15E-05
2410089E03Rik	-0.358257406	0.027381561	-0.094185267	0.340920884	-0.452442673	2.62E-06
2410127L17Rik	0.425070685	0.259656777	0.055197707	0.805180267	0.480268392	0.017004889
2410131K14Rik	0.187655572	0.331682813	0.369908869	7.24E-06	0.557564441	2.65E-09
2500002B13Rik	1.00367136	0.198238974	-0.037613586	0.938376638	0.966057774	0.027135731
2500004C02Rik	0.383568274	0.714	-0.801204249	0.0382	-0.417635976	0.392
2510002D24Rik	0.069069417	0.853	-0.003155018	0.985	0.0659144	0.698
2510003B16Rik	0.237257903	0.899	-0.40503753	0.547	-0.167779627	0.85
2510009E07Rik	-0.077889516	0.661230592	-0.278057324	1.68E-05	-0.35594684	1.45E-06
2510039O18Rik	0.027088773	0.923	-0.206574536	0.022	-0.179485763	0.0895
2610001J05Rik	0.483587234	0.015647143	0.070482387	0.599238647	0.55406962	4.64E-06
2610002M06Rik	-0.032978351	0.918	0.246123339	0.0163	0.213144989	0.0744
2610005L07Rik	0.267668559	0.573704516	0.22178389	0.289153992	0.489452449	0.025744322
2610008E11Rik	0.023008019	0.955691879	-0.058890337	0.706294485	-0.035882318	0.841809827
2610015P09Rik	-0.246081192	0.43976228	0.266866302	0.058707251	0.02078511	0.9184149
2610020C07Rik	-0.16927949	NA	0.12161378	0.911494699	-0.047665711	0.967161803
2610020H08Rik	-0.244589977	0.757155314	-0.359284173	0.242574715	-0.60387415	0.065051834
2610028H24Rik	-3.829621222	0.00073721	1.436475027	0.005063469	-2.393146194	0.006105461
2610035D17Rik	0.18923598	0.637961867	0.51301502	0.0005631	0.702251001	4.69E-05
2610037D02Rik	0.728524846	0.438468135	1.049074133	0.007646212	1.777598979	7.97E-05
2610044O15Rik8	-0.025750471	0.978431443	-0.023272327	0.952345877	-0.049022798	0.908039429
2610203C22Rik	-1.778830857	NA	-0.327734553	0.812945866	-2.10656541	0.166447088
2610206C17Rik	1.832126021	NA	-0.068989927	0.96178104	1.763136094	0.193217181
2610301B20Rik	-0.085497104	0.810176896	0.209082953	0.109479176	0.123585848	0.438657135
2610305D13Rik	0.256175605	0.670762467	0.246608583	0.334640547	0.502784188	0.057743625
2610306M01Rik	0.095581651	0.822161533	-0.278492133	0.066162605	-0.182910482	0.320366247
2610307P16Rik	2.694595209	NA	-2.337352021	0.027600319	0.357243188	0.830726095
2610318N02Rik	0.884933252	0.389524468	-0.145414518	0.790893646	0.739518735	0.197488083
2610507B11Rik	-0.009177884	0.957639693	-0.216159751	1.17E-05	-0.225337634	7.31E-05
2610507I01Rik	-0.222308281	0.608310085	-0.257492821	0.155686397	-0.479801103	0.013266109
2610524H06Rik	0.271620247	0.441	-0.122853424	0.488	0.148766822	0.442
2610528A11Rik	0.886652988	NA	0.475265914	0.75640368	1.361918901	0.337883554
2610528J11Rik	-0.122107462	0.935097492	-1.050375039	0.028126919	-1.172482501	0.029442031
2700029M09Rik	0.131156468	0.711580993	-0.034538903	0.83747328	0.096617566	0.572533506
2700038G22Rik	-0.005045476	0.996843437	0.673999736	0.102481874	0.66895426	0.154118243
2700046G09Rik	0.162651821	0.747205329	-0.457795913	0.010909457	-0.295144092	0.171118311
2700049A03Rik	-0.293899188	0.257870606	-0.329809547	0.005829625	-0.623708735	2.21E-06
2700054A10Rik	-0.048501786	0.952013751	0.050541016	0.873851987	0.002039229	0.996417549
2700060E02Rik	0.123923651	0.527	0.212015972	0.00773	0.335939623	0.000141
2700062C07Rik	-0.186924351	0.521817301	0.279175623	0.0193948	0.092251272	0.55912859
2700081O15Rik	-0.128449283	0.523091083	-0.034543379	0.735897832	-0.162992662	0.094636142
2700089I24Rik	1.210709741	0.45415046	2.275962353	0.000583132	3.486672094	4.08E-06
2700094K13Rik	0.084696545	0.821650948	-0.376473111	0.00283724	-0.291776565	0.057743625
2700097O09Rik	0.166388115	0.777	0.455011889	0.028	0.621400003	0.00805
2700099C18Rik	0.940790032	NA	-0.232793182	0.781704321	0.70799685	0.434246434
2810001G20Rik	0.220903946	0.696	-0.211714168	0.367	0.009189778	0.978
2810002D19Rik	-0.019605936	0.981061719	-0.475671137	0.058597329	-0.495277073	0.081549343
2810004N23Rik	0.189302379	0.455119889	0.36731934	0.000419128	0.556621719	2.30E-06
2810006K23Rik	0.070503888	0.878894877	-0.282410346	0.065241658	-0.211906457	0.248192147
2810013P06Rik	0.022477628	0.952069701	0.080291702	0.550203219	0.10276933	0.483570624
2810021J22Rik	0.03006918	0.922738514	-0.146215311	0.163180363	-0.116146131	0.346303682
2810025M15Rik	0.558095468	0.01809815	-0.173394525	0.213856556	0.384700943	0.010050255
2810029C07Rik	-0.346932633	0.561813053	-0.769984503	0.000972988	-1.116917135	2.54E-05
2810032G03Rik	0.89967328	0.403077209	-0.490632343	0.342027409	0.409040937	0.512136196
2810047C21Rik1	-0.536784785	0.614213641	1.065355855	0.011122356	0.528571069	0.304380037
2810403A07Rik	-0.346766904	0.095153474	0.115828974	0.328469538	-0.23093793	0.06093924
2810403D21Rik	-0.056381245	0.976181306	-0.741968777	0.212390886	-0.798350022	0.252206194
2810405F15Rik	-2.033483861	NA	-1.348180726	0.462921628	-3.381664586	0.138574712
2810408A11Rik	1.000013249	0.514674253	-0.031728347	0.970339524	0.968284902	0.205399248
2810408I11Rik	-1.368559104	0.36	2.090007075	0.00219	0.721447971	0.375
