Gene Name	deltaFC_Male	interaction_padj_Male	FC_Male_6hr_TGvsDMSO	padj_Male_6hr_TGvsDMSO	FC_Male_12hr_TGvsDMSO	padj_Male_12hr_TGvsDMSO
1700016L04Rik	-1.076752369	NA	-2.43929432	0.391882613	-3.51604669	0.20008694
1700017B05Rik	-0.096646436	0.731524369	0.212050741	0.102889394	0.115404305	0.427739331
1700018L02Rik	0.510430311	0.476870251	-0.106485831	0.813644648	0.40394448	0.318794563
1700019B03Rik	2.969018761	NA	-1.213090454	0.498294834	1.755928308	0.303781667
1700019D03Rik	-0.058963714	0.863826576	0.259150283	0.079007707	0.200186569	0.201654432
1700019G17Rik	0.525227866	0.116815402	-0.211188054	0.304725712	0.314039812	0.139686741
1700019L03Rik	-0.12161684	NA	0.044040286	0.965147517	-0.077576553	0.936193472
1700020D05Rik	-0.476373275	0.385069793	1.099723539	4.41E-05	0.623350263	0.037074378
1700020I14Rik	-0.078283411	0.865220714	-0.462886191	0.014811918	-0.541169602	0.006006013
1700020L24Rik	4.590892354	NA	1.013324394	0.351009835	5.604216748	0.000314664
1700020N18Rik	-1.349280402	NA	-0.539583848	0.818883047	-1.888864251	0.427739331
1700021F05Rik	0.078033222	0.837378318	0.350685332	0.028056905	0.428718554	0.00868219
1700021K19Rik	-0.218930376	0.10809735	0.197171882	0.010944694	-0.021758494	0.826778987
1700023F06Rik	0.393969079	0.237828573	-0.461269067	0.011558029	-0.067299988	0.763003871
1700024P16Rik	3.211530481	NA	0.050975848	0.969458634	3.26250633	0.006718346
1700025G04Rik	-0.273079112	0.451069174	-0.323141119	0.078227795	-0.59622023	0.001566941
1700026J14Rik	0.058751632	0.963874718	-0.936673167	0.064359565	-0.877921536	0.082435283
1700026L06Rik	-0.882535569	NA	1.179486839	0.471728139	0.29695127	0.891397103
1700028E10Rik	0.497892526	NA	-0.046419799	0.94950298	0.451472727	0.504099676
1700028I16Rik	-0.05870596	NA	0.220934908	0.828725519	0.162228949	0.871524218
1700028J19Rik	-0.208573618	NA	0.078253595	0.92622189	-0.130320023	0.868983796
1700028K03Rik	1.910279872	NA	-0.7040922	0.655023503	1.206187672	0.428492561
1700029I15Rik	-0.202817959	NA	0.409931744	0.606218413	0.207113785	0.819629535
1700029J07Rik	-0.156826343	0.678297919	-0.00061831	0.997528145	-0.157444653	0.42770073
1700030C10Rik	-0.627708035	0.553625459	-0.050682451	0.940040547	-0.678390486	0.230504038
1700030J22Rik	-0.191727501	0.820108196	0.354686997	0.378542867	0.162959496	0.707425216
1700030K09Rik	-0.062049759	0.884095542	-0.071730798	0.740544527	-0.133780558	0.516973673
1700034H15Rik	0.235602717	0.828281008	-0.170601723	0.757593267	0.065000994	0.914683567
1700034P13Rik	-0.03305702	NA	2.42645964	0.120581552	2.393402619	0.09291818
1700037C18Rik	0.699450396	0.028424922	0.097737696	0.678723289	0.797188093	2.91E-05
1700037H04Rik	0.442767195	0.062	-0.121155047	0.45	0.321612148	0.0272
1700040L02Rik	0.244060595	0.699157348	0.042986641	0.906676565	0.287047236	0.391107041
1700042O10Rik	1.633051594	NA	0.297082635	0.871935882	1.930134229	0.268810165
1700048O20Rik	-5.149383317	NA	1.191688281	0.376683613	-3.957695037	0.018847663
1700049E15Rik	3.737390718	NA	0.962512342	0.50281717	4.69990306	0.004880531
1700049G17Rik	-0.39768465	0.118334743	0.055065678	0.760281452	-0.342618972	0.025492361
1700052K11Rik	0.199861089	0.524386071	-0.040989675	0.835035713	0.158871413	0.362342855
1700056E22Rik	0.449955249	0.366549863	-0.024136038	0.943702936	0.425819211	0.129385146
1700061G19Rik	1.247905529	NA	0.056629589	0.952	1.304535118	0.127
1700064M15Rik	-0.394578072	NA	-0.418515124	0.821946127	-0.813093196	0.640580783
1700066B19Rik	-0.584863965	NA	0.59232199	0.386808633	0.007458025	0.994053998
1700066M21Rik	0.251643566	0.369814131	1.794839422	1.56E-42	2.046482988	1.01E-48
1700067K01Rik	0.542062524	NA	-0.113374999	0.969691183	0.428687525	0.869909738
1700084C01Rik	-1.659606106	NA	1.43827911	0.2	-0.221326996	0.859
1700084E18Rik	0.182706414	0.883	0.61246197	0.271	0.795168385	0.153
1700086L19Rik	-0.046124807	0.855955856	0.194311861	0.07080374	0.148187053	0.199543702
1700086O06Rik	0.144172956	0.769004623	0.028048222	0.920375228	0.172221178	0.489596128
1700088E04Rik	0.375917649	0.204312401	0.716578615	3.49E-06	1.092496264	5.26E-12
1700092M07Rik	6.059146521	NA	-1.786559924	0.541029514	4.272586597	0.09755053
1700093K21Rik	0.1704847	NA	-0.964563468	0.163298812	-0.794078768	0.241844657
1700094D03Rik	-0.366438574	0.358203446	0.448564227	0.032600521	0.082125653	0.750451293
1700096K18Rik	-0.113920254	0.771006549	-0.246283376	0.177053906	-0.360203631	0.042133277
1700101E01Rik	0.3030657	NA	-0.736069164	0.280625687	-0.433003465	0.560859592
1700101I11Rik	-0.269517813	NA	0.284604734	0.754980639	0.015086921	0.989649322
1700102H20Rik	0.279585837	0.826339255	-0.195559174	0.778673225	0.084026664	0.899548463
1700102P08Rik	-0.455661041	0.676941055	0.466539691	0.414215213	0.01087865	0.989141156
1700105P06Rik	-0.31739497	NA	-0.833521436	0.531714436	-1.150916406	0.386122975
1700109H08Rik	-0.430084455	NA	-0.282627136	0.826116429	-0.712711591	0.591260271
1700110K17Rik	-0.221929125	0.638	0.644490776	0.00238	0.422561651	0.0757
1700112E06Rik	-2.325353083	NA	1.322679167	0.158649277	-1.002673916	0.280460511
1700112J16Rik	0.442799593	0.485954476	-0.344954275	0.329188265	0.097845318	0.805038971
1700113A16Rik	0.271433357	0.449319923	0.138878695	0.511517781	0.410312052	0.027953601
1700120C14Rik	0.235141342	NA	-0.564116103	0.519896286	-0.328974761	0.749910787
1700123M08Rik	-0.011650505	0.992527294	-0.206452302	0.716922696	-0.218102807	0.711005295
1700123O20Rik	0.174139918	0.476870251	0.200435583	0.117688066	0.374575501	0.002630948
1700124L16Rik	1.445541734	NA	-0.966346836	0.777985186	0.479194899	0.892449832
1810007C17Rik	-0.179254837	NA	1.444236821	0.153275865	1.264981985	0.254362233
1810008I18Rik	-0.162625688	0.581017886	0.625107112	2.49E-06	0.462481424	0.00116147
1810009A15Rik	0.050745818	NA	-1.198158238	0.137185772	-1.14741242	0.126905661
1810010D01Rik	-1.125342769	NA	2.032048718	0.396072138	0.906705949	0.710132582
1810010H24Rik	0.179899593	0.686803163	0.051687515	0.843648926	0.231587107	0.307878433
1810011H11Rik	-1.008005672	NA	-1.733964363	0.251911747	-2.741970035	0.050237998
1810011O10Rik	-0.560546601	0.147631931	0.949013016	3.59E-06	0.388466415	0.099199463
1810012K16Rik	-0.830816947	NA	0.788678017	0.475458439	-0.04213893	0.973635008
1810013L24Rik	-0.076037342	0.661206606	0.124111795	0.138370442	0.048074452	0.618935661
1810014B01Rik	0.339056753	0.506678915	-0.203195695	0.48216363	0.135861058	0.656594
1810019D21Rik	-0.059085424	0.923321164	-0.721232797	0.002813602	-0.780318221	0.001448132
1810020O05Rik	-2.209731571	NA	1.471257172	0.32549792	-0.738474399	0.627570219
1810021B22Rik	0.052987559	0.935316991	0.309004224	0.270419062	0.361991783	0.190686873
1810022K09Rik	0.017299353	0.975620497	0.567099126	0.005990182	0.584398479	0.007254663
1810024B03Rik	0.614888936	NA	-1.012237505	0.322479461	-0.397348568	0.721981154
1810026B05Rik	-0.772921347	0.001273976	0.841227887	2.17E-09	0.068306539	0.718997164
1810026J23Rik	0.144700173	0.251251283	0.066008651	0.39070886	0.210708824	0.002499141
1810030O07Rik	0.109061606	0.482868304	0.285286505	0.000113849	0.394348111	2.58E-07
1810032O08Rik	0.559134439	0.073500854	2.050503438	8.13E-37	2.609637878	1.07E-48
1810034E14Rik	-0.816044774	0.0573	-2.069517841	1.29E-20	-2.885562615	1.69E-30
1810037I17Rik	0.34573913	0.018277042	-0.367795256	1.59E-05	-0.022056126	0.846054148
1810041H14Rik	-1.281276116	NA	0.867399024	0.32457469	-0.413877092	0.643039882
1810041L15Rik	0.098852146	0.794314047	1.037590395	2.94E-12	1.136442541	1.11E-12
1810043G02Rik	-0.159154713	0.421988298	-0.3736859	0.000102505	-0.532840613	8.47E-08
1810043H04Rik	0.547758452	0.028269546	-0.2223659	0.167330278	0.325392552	0.039546451
1810044D09Rik	0.04695849	0.948573062	0.187294986	0.584958922	0.234253475	0.481299056
1810055G02Rik	-0.124161089	0.777085285	0.226650154	0.276833647	0.102489065	0.655436829
1810058I24Rik	0.431889345	0.01194498	0.100345959	0.398318573	0.532235304	4.20E-07
1810062G17Rik	0.740147751	0.092733124	-0.521537139	0.047480995	0.218610612	0.45472027
1810062O18Rik	-0.379255147	NA	1.080732397	0.248844297	0.70147725	0.418799349
2010001A14Rik	0.595867687	0.278162634	-0.728991987	0.015602392	-0.133124299	0.706697271
2010012O05Rik	-0.254092491	0.306902907	0.136374809	0.350439646	-0.117717682	0.443471907
2010016I18Rik	0.792599944	NA	0.319994054	0.713430357	1.112593998	0.133451504
2010107E04Rik	-0.050682684	0.84274809	-0.309365842	0.003125295	-0.360048525	0.000747887
2010107G12Rik	-1.391808069	NA	-0.813143182	0.264727019	-2.204951251	0.002831303
2010107G23Rik	0.206877797	0.27052387	-0.036616519	0.770919512	0.170261278	0.119629267
2010109A12Rik	0.40572654	NA	-0.414564583	0.723551527	-0.008838042	0.995761166
2010111I01Rik	0.126520639	0.573795046	-0.345542507	0.000915657	-0.219021868	0.055497889
2010204K13Rik	0.321737349	0.390373072	-0.430559113	0.031446568	-0.108821764	0.632971311
2010300C02Rik	-0.142657171	0.603532166	-0.991876132	4.57E-17	-1.134533303	3.13E-19
2010308F09Rik	-1.843198345	NA	1.829016851	0.489538582	-0.014181493	0.998198526
2010315B03Rik	-0.040943054	0.892541776	0.367565083	0.002246054	0.326622029	0.010695251
2010320M18Rik	0.616195671	0.006280978	0.057917313	0.740277093	0.674112984	1.19E-06
2200002D01Rik	3.324295607	NA	-2.007184421	0.12853012	1.317111186	0.291874795
2200002J24Rik	-0.647138433	0.502373915	-2.032344354	5.14E-06	-2.679482788	1.48E-08
2210010C04Rik	-0.07457537	0.982372316	-2.743786216	0.028545082	-2.818361585	0.032798881
2210011C24Rik	1.047923078	0.313	0.529890611	0.383	1.577813689	0.00584
2210013O21Rik	-0.178242468	0.3695079	0.004709885	0.973061677	-0.173532583	0.11785533
2210015D19Rik	0.239286763	0.465278167	0.1928837	0.27974366	0.432170463	0.011496082
2210016F16Rik	0.370940325	0.011859006	0.009462725	0.937552369	0.38040305	2.60E-05
2210016L21Rik	-0.049853969	0.815781504	-0.593710268	1.07E-12	-0.643564237	2.92E-13
2210018M11Rik	-0.270046561	0.0996	0.011099006	0.929	-0.258947555	0.00814
2210019I11Rik	-1.277113576	0.000998721	-1.596698264	1.16E-13	-2.87381184	6.03E-31
2210039B01Rik	1.632416369	NA	-0.50744418	0.767306442	1.124972189	0.393818298
2210404O09Rik	-0.078523431	0.894867656	0.087579513	0.767154067	0.009056082	0.979510065
2210406O10Rik	0.157423786	0.874	-0.367365355	0.446	-0.209941569	0.664
2210408F21Rik	0.809989864	0.000518214	0.193043793	0.24019269	1.003033657	5.08E-12
2210408I21Rik	-0.532306782	0.065602098	-0.229421862	0.206152381	-0.761728644	7.49E-06
2210416O15Rik	0.097524069	NA	-0.35047423	0.619286054	-0.252950162	0.722162077
2210417A02Rik	-0.314245553	NA	-0.420988498	0.801168002	-0.735234051	0.598919284
2300009A05Rik	0.260442129	0.273547066	-0.176318782	0.201200419	0.084123348	0.579637635
2310001H17Rik	-2.388298446	NA	0.804680609	0.533072895	-1.583617837	0.254281228
2310009A05Rik	0.054947315	0.89146097	0.225727112	0.201706429	0.280674426	0.111196676
2310009B15Rik	0.588465238	0.149241837	-0.314330977	0.213044233	0.274134261	0.278322882
2310010G23Rik	0.301814837	0.810251193	-0.114545067	0.867500511	0.18726977	0.780890378
2310010J17Rik	0.223738938	0.659066326	-0.51348617	0.031069885	-0.289747233	0.26210176
2310011J03Rik	0.56326825	6.29E-06	0.195138825	0.01850822	0.758407075	2.96E-21
2310015A10Rik	-0.195523834	0.584082378	-0.71942464	8.38E-06	-0.914948474	4.27E-08
2310022A10Rik	-0.003429709	0.990121552	0.29603786	0.006767516	0.292608151	0.011547025
2310022B05Rik	-0.038744157	0.792730839	-0.422717676	3.85E-13	-0.461461833	6.50E-14
2310030G06Rik	-0.149395054	0.478842675	-0.214854177	0.044221665	-0.364249231	0.000634543
2310033P09Rik	0.005010623	0.987555709	-0.82563331	2.79E-13	-0.820622687	4.81E-12
2310034G01Rik	0.784139441	0.0263	-0.738694196	0.000476	0.045445246	0.865
2310035C23Rik	-0.20400075	0.227971306	0.063963531	0.551648796	-0.140037219	0.165038717
2310036O22Rik	0.32263088	0.01192933	0.063819387	0.483050866	0.386450267	7.75E-07
2310039H08Rik	0.310364506	0.17298041	0.086077199	0.565172648	0.396441704	0.002107707
2310040G24Rik	0.117137874	0.808508375	1.018473202	1.15E-07	1.135611076	2.30E-08
2310045N01Rik	0.357558107	0.024795096	0.392235748	2.00E-05	0.749793856	7.89E-16
2310047M10Rik	0.309828944	0.102807875	0.426010004	4.40E-05	0.735838948	5.98E-12
2310057M21Rik	-0.02366414	0.940773505	0.201738598	0.117398341	0.178074457	0.196956578
2310061I04Rik	-0.049532319	0.867062215	0.100523193	0.473463694	0.050990874	0.73751584
2310067B10Rik	-0.181256894	0.201204209	-0.57999015	4.40E-16	-0.761247045	6.54E-24
2310068J16Rik	0.002435658	0.998035676	0.247708387	0.517468674	0.250144045	0.506678136
2310069G16Rik	-1.842351386	NA	1.605415038	0.18036842	-0.236936348	0.86197041
2400006E01Rik	0.68102285	NA	1.645574956	0.39209168	2.326597805	0.225593518
2410002F23Rik	0.189321626	0.246553081	0.040586708	0.708580681	0.229908333	0.012295542
2410004B18Rik	0.242874301	0.484597457	0.068327406	0.751236435	0.311201708	0.093984126
2410006H16Rik	1.007166826	9.12E-09	2.388387468	1.81E-112	3.395554293	8.94E-192
2410015M20Rik	0.445246487	0.000257504	-0.067279325	0.460086766	0.377967162	1.08E-06
2410016O06Rik	0.183602102	0.556613505	0.466132144	0.001385019	0.649734246	1.50E-05
2410021H03Rik	-0.460125601	0.183165628	-0.7457612	4.54E-05	-1.205886801	1.44E-10
2410089E03Rik	-0.258309683	0.06709061	-0.104674288	0.241679298	-0.362983972	1.22E-05
2410127L17Rik	0.410124135	0.130288122	0.095568325	0.598878236	0.50569246	0.001292571
2410131K14Rik	0.34915315	0.049844926	0.29006931	0.00512021	0.63922246	6.53E-10
2500002B13Rik	0.189177105	0.862140105	0.437543792	0.390209493	0.626720897	0.206716059
2500004C02Rik	-0.109856229	0.918	-0.294514869	0.542	-0.404371099	0.417
2510002D24Rik	0.299507327	0.163	0.060442343	0.678	0.35994967	0.00347
2510003B16Rik	0.899755388	NA	-0.539610851	0.539	0.360144537	0.686
2510009E07Rik	-0.119799848	0.303620804	-0.262383653	6.83E-06	-0.382183501	2.92E-10
2510039O18Rik	0.278555352	0.0726	-0.233363324	0.00939	0.045192028	0.684
2610001J05Rik	0.417726271	0.038139264	0.227055878	0.066181797	0.644782148	5.42E-08
2610002M06Rik	-0.250562481	0.0952	0.246251335	0.00372	-0.004311146	0.972
2610005L07Rik	0.196722957	0.646279262	0.378418488	0.064849023	0.575141445	0.004810518
2610008E11Rik	-0.421177699	0.018033218	0.144117403	0.215602688	-0.277060296	0.014617107
2610015P09Rik	-0.234715356	0.318701434	0.142200648	0.300766989	-0.092514708	0.527617733
2610020C07Rik	0.607755378	NA	-1.127862903	0.20900664	-0.520107526	0.562184896
2610020H08Rik	-0.354868306	0.671679404	-0.265684643	0.555421912	-0.620552949	0.132706472
2610028H24Rik	-1.84584653	NA	0.507767162	0.66045116	-1.338079368	0.2069105
2610035D17Rik	0.389251773	0.21820302	0.511528197	0.002367406	0.90077997	1.38E-07
2610037D02Rik	0.716337181	0.41334547	1.35001514	0.001904648	2.066352321	3.36E-06
2610044O15Rik8	0.011141521	0.985582812	-0.214580458	0.409909662	-0.203438937	0.445402974
2610203C22Rik	2.687057706	NA	-4.099371776	0.018367726	-1.41231407	0.279884695
2610206C17Rik	1.712594435	NA	0.705012907	0.488938382	2.417607343	0.019199544
2610301B20Rik	-0.434121811	0.005038237	0.289571499	0.001941763	-0.144550311	0.172712299
2610305D13Rik	0.056552249	0.905876396	0.259793086	0.208282071	0.316345335	0.128894798
2610306M01Rik	0.358665981	0.309666632	-0.230366813	0.260357375	0.128299168	0.562184896
2610307P16Rik	-0.899750293	NA	-0.058540488	0.971551909	-0.958290781	0.492041511
2610318N02Rik	1.008158922	0.305400623	-0.080119731	0.904539792	0.928039191	0.103014479
2610507B11Rik	0.026256139	0.86470503	-0.2339442	0.000129153	-0.20768806	0.001400798
2610507I01Rik	-0.256782867	0.390069115	-0.450115684	0.003272006	-0.70689855	2.77E-06
2610524H06Rik	0.200112956	0.436	-0.122737916	0.406	0.07737504	0.619
2610528A11Rik	0.455189634	NA	1.141483316	0.286625001	1.59667295	0.197847406
2610528J11Rik	0.181937961	0.88692615	-0.48077092	0.411588069	-0.298832959	0.64324256
2700029M09Rik	0.304515266	0.211898577	-0.107238593	0.487000832	0.197276674	0.177969364
2700038G22Rik	-0.407403406	0.765332107	0.473388311	0.484724698	0.065984905	0.933489771
2700046G09Rik	0.177091846	0.646481304	-0.066997019	0.766344326	0.110094827	0.609349576
2700049A03Rik	-0.273156157	0.195096153	-0.533426658	1.06E-06	-0.806582816	1.41E-12
2700054A10Rik	-0.848092042	0.075340491	0.114777601	0.739117559	-0.733314441	0.011519923
2700060E02Rik	0.122967057	0.362	0.261944233	9.70E-05	0.384911289	2.68E-08
2700062C07Rik	0.180738377	0.583096491	0.046361505	0.815812339	0.227099882	0.186648378
2700081O15Rik	-0.043402312	0.885541288	-0.17115947	0.197262805	-0.214561782	0.108164511
2700089I24Rik	-0.86617432	NA	5.771952854	2.94E-06	4.905778534	3.28E-06
2700094K13Rik	0.154159399	0.657563706	-0.451345792	0.004098098	-0.297186393	0.083410712
2700097O09Rik	0.179138122	0.731	0.442186857	0.0622	0.621324979	0.00992
2700099C18Rik	0.806159437	NA	0.390487678	0.755089034	1.196647116	0.307216794
2810001G20Rik	0.06919013	0.889	-0.268882224	0.217	-0.199692094	0.387
2810002D19Rik	-0.339422881	0.536190055	0.036287419	0.917088358	-0.303135461	0.317906322
2810004N23Rik	0.333264738	0.103884879	0.31700861	0.006385633	0.650273347	2.35E-08
2810006K23Rik	0.196173651	0.495654861	-0.332104422	0.020380204	-0.135930772	0.405180342
2810013P06Rik	0.039067348	0.876723703	-0.032173582	0.805864664	0.006893766	0.96115953
2810021J22Rik	-0.038660679	0.881647113	-0.246291465	0.02126574	-0.284952144	0.010189605
2810025M15Rik	0.455235534	0.032172427	0.014895845	0.929885238	0.470131379	0.000245771
2810029C07Rik	-0.604185795	0.172752932	-0.59462374	0.014473245	-1.198809536	1.29E-06
2810032G03Rik	0.386106156	NA	-0.76199036	0.30744358	-0.375884204	0.637645564
2810047C21Rik1	1.164935476	NA	0.387339297	0.637970981	1.552274772	0.044493778
2810403A07Rik	-0.336625523	0.068343562	0.020448505	0.884247425	-0.316177017	0.004481785
2810403D21Rik	0.159557227	NA	0.318783167	0.7367447	0.478340394	0.616879809
2810405F15Rik	-2.505025886	NA	0.055393859	0.979914899	-2.449632026	0.262412468
2810408A11Rik	0.412704593	NA	-0.352586461	0.681660989	0.060118132	0.944877114
2810408I11Rik	-0.890905764	NA	1.521366395	0.0163	0.630460631	0.365
2810410L24Rik	0.11780774	0.823661718	-0.57169619	0.009130913	-0.45388845	0.053864356
2810428I15Rik	0.459175576	0.009206327	-0.220151315	0.048176232	0.239024261	0.036741464
