Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Pathway name short
R-HSA-156902,Peptide chain elongation,24,97,0.006807973,1.63E-06,5.786673412,1.94E-04,4,5,4.06E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907,Peptide chain elongation
R-HSA-72689,Formation of a pool of free 40S subunits,25,106,0.007439641,2.30E-06,5.638022402,2.51E-04,2,2,1.62E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Eif3g;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-72673;R-HSA-72676,Formation of free 40S subunits
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),24,101,0.007088714,3.21E-06,5.493255814,2.81E-04,1,1,8.12E-05,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-927789,NMD indep. of Exon Junction Complex
R-HSA-72613,Eukaryotic Translation Initiation,28,130,0.009124088,3.23E-06,5.491330061,2.81E-04,18,21,0.001706207,9606,Homo sapiens,Rps16;Rpl13;Eif4ebp1;Eif3g;Rpl38;Rps13;Rpl12;Rpl34;Eif2b4;Rps2;Rpl10a;Rps26;Rps28;Rps29;Rps5;Rpl27a;Rplp2;Rpl27;Rps21;Rpl41;Rplp0;Rplp1;Eif2s3x;Rpl13a;Rpl36al,,R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-156826;R-HSA-72697;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670,Eukaryotic Translation Initiation
R-HSA-72737,Cap-dependent Translation Initiation,28,130,0.009124088,3.23E-06,5.491330061,2.81E-04,15,18,0.001462463,9606,Homo sapiens,Rps16;Rpl13;Eif4ebp1;Eif3g;Rpl38;Rps13;Rpl12;Rpl34;Eif2b4;Rps2;Rpl10a;Rps26;Rps28;Rps29;Rps5;Rpl27a;Rplp2;Rpl27;Rps21;Rpl41;Rplp0;Rplp1;Eif2s3x;Rpl13a;Rpl36al,,R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72663;R-HSA-72697;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670,Cap-dep. Translation Initiation
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,26,120,0.008422235,6.44E-06,5.190981653,4.78E-04,3,3,2.44E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Eif3g;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Eif2s3x;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-72672;R-HSA-72619;R-HSA-72671,GTP hydrolysis and joining of 60S subunit
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,26,120,0.008422235,6.44E-06,,4.78E-04,3,3,2.44E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Eif3g;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Eif2s3x;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-156832;R-HSA-156823;R-HSA-156826,L13a-mediated translational\nsilencing of Ceruloplasmin
R-HSA-8868773,rRNA processing in the nucleus and cytosol,37,207,0.014528355,6.63E-06,,4.78E-04,10,15,0.00121872,9606,Homo sapiens,Rps16;Rpl13;Rpl38;Nol6;Rrp9;Bysl;Rps13;Fbl;Rpl12;Rpl34;Rps2;Rpl10a;Ftsj3;Rps26;Rps28;Rps29;Exosc4;Rps5;Pdcd11;Rpl27a;Rplp2;Wbscr22;Rpl27;Rps21;Nop56;Ddx49;Bop1;Rpl41;Nol12;Rplp0;Rplp1;Rpl13a;Tsr1;Rpl36al;Sik1,,R-HSA-6791223;R-HSA-6791222;R-HSA-6790982;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6791228;R-HSA-6790907;R-HSA-6791227;R-HSA-6790906,rRNA processing in nucleus and cytosol
R-HSA-72764,Eukaryotic Translation Termination,24,106,0.007439641,7.09E-06,,4.82E-04,3,5,4.06E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-141671;R-HSA-141691;R-HSA-141673,Eukaryotic Translation Termination
R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,10,22,0.001544076,1.41E-05,,9.16E-04,1,2,1.62E-04,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-190520,MT-dep. trafficking of connexons\nfrom Golgi to membrane
R-HSA-2408557,Selenocysteine synthesis,24,113,0.007930938,1.97E-05,,0.001208591,2,7,5.69E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-2408529;R-HSA-5333615,Selenocysteine synthesis
R-HSA-190872,Transport of connexons to the plasma membrane,10,23,0.001614262,2.05E-05,,0.001208591,1,3,2.44E-04,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-190520,Transport of connexons to the plasma membrane
R-HSA-192823,Viral mRNA Translation,24,114,0.008001123,2.26E-05,,0.001265433,2,2,1.62E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-192704;R-HSA-192841,Viral mRNA Translation
R-HSA-927802,Nonsense-Mediated Decay (NMD),25,124,0.008702976,3.09E-05,,0.001607045,6,6,4.87E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Tsr1;Rps2;Rpl36al;Rpl10a,,R-HSA-927836;R-HSA-927789;R-HSA-927832;R-HSA-927830;R-HSA-927813;R-HSA-927889,Nonsense-Mediated Decay (NMD)
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),25,124,0.008702976,3.09E-05,,0.001607045,5,5,4.06E-04,9606,Homo sapiens,Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Tsr1;Rps2;Rpl36al;Rpl10a,,R-HSA-927836;R-HSA-927832;R-HSA-927830;R-HSA-927813;R-HSA-927889,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,8,15,0.001052779,3.34E-05,,0.001667994,5,5,4.06E-04,9606,Homo sapiens,Hspa5;Atf6b;Hsp90b1;Calr;Atf4,,R-HSA-1791163;R-HSA-1791082;R-HSA-1791150;R-HSA-1791107;R-HSA-1791121,ATF6 (ATF6-alpha) activates chaperone genes
R-HSA-389977,Post-chaperonin tubulin folding pathway,10,25,0.001754632,4.10E-05,,0.001967189,9,9,7.31E-04,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-389956;R-HSA-389972;R-HSA-389974;R-HSA-389969;R-HSA-389955;R-HSA-389964;R-HSA-389976;R-HSA-389963;R-HSA-389978,Post-chaperonin tubulin folding pathway
R-HSA-376176,Signaling by ROBO receptors,38,235,0.016493543,4.28E-05,,0.001969102,14,60,0.004874878,9606,Homo sapiens,Nell2;Rps16;Srgap3;Rpn1;Rpl13;Tceb2;Rpl38;Ntn1;Rps13;Gpc1;Rpl12;Rpl34;Pak6;Rps2;Rpl10a;Cap2;Pak4;Psmb5;Psmb4;Rps26;Psmb6;Rps28;Rps29;Rps5;Rpl27a;Rplp2;Rpl27;Rps21;Rpl41;Rplp0;Zswim8;Rplp1;Rpl13a;Rpl36al;Pfn1,,R-HSA-9011241;R-HSA-428518;R-HSA-9010190;R-HSA-9011300;R-HSA-9011289;R-HSA-428534;R-HSA-9011224;R-HSA-428533;R-HSA-376145;R-HSA-428531;R-HSA-9014652;R-HSA-428883;R-HSA-9011313;R-HSA-9014610,Signaling by ROBO receptors
R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,8,17,0.00119315,7.91E-05,,0.003561084,9,10,8.12E-04,9606,Homo sapiens,Hspa5;Atf6b;Hsp90b1;Calr;Atf4,,R-HSA-1791163;R-HSA-1791082;R-HSA-381158;R-HSA-420818;R-HSA-1791150;R-HSA-381026;R-HSA-1791107;R-HSA-1791121;R-HSA-381135,ATF6 (ATF6-alpha) activates chaperones
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,10,30,0.002105559,1.79E-04,,0.007689728,2,2,1.62E-04,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-389954;R-HSA-389961,Formation of tubulin folding intermediates by CCT/TriC
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,21,107,0.007509826,1.84E-04,,0.007720866,8,11,8.94E-04,9606,Homo sapiens,Rint1;Cope;Tubb5;Tubb3;Tuba1b;Tubb2b;Ambp;Tuba1a;Tubb2a;Tubb1;Kif5a;Tuba1c;Kdelr2;Klc3;Tmed9;Fkbp11;Tuba4a;Tubb4b;Tubb4a;Arfgap1,,R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-6811427;R-HSA-6811426;R-HSA-6811423;R-HSA-6811418;R-HSA-6811417,COPI-dependent Golgi-to-ER retrograde traffic
R-HSA-72312,rRNA processing,37,245,0.017195396,2.03E-04,,0.008122633,10,21,0.001706207,9606,Homo sapiens,Rps16;Rpl13;Rpl38;Nol6;Rrp9;Bysl;Rps13;Fbl;Rpl12;Rpl34;Rps2;Rpl10a;Ftsj3;Rps26;Rps28;Rps29;Exosc4;Rps5;Pdcd11;Rpl27a;Rplp2;Wbscr22;Rpl27;Rps21;Nop56;Ddx49;Bop1;Rpl41;Nol12;Rplp0;Rplp1;Rpl13a;Tsr1;Rpl36al;Sik1,,R-HSA-6791223;R-HSA-6791222;R-HSA-6790982;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6791228;R-HSA-6790907;R-HSA-6791227;R-HSA-6790906,rRNA processing
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,30,183,0.012843908,2.09E-04,,0.008144364,5,20,0.001624959,9606,Homo sapiens,Rps16;Rpn1;Rpl13;Tceb2;Rpl38;Rps13;Rpl12;Rpl34;Rps2;Rpl10a;Psmb5;Psmb4;Rps26;Psmb6;Rps28;Rps29;Rps5;Rpl27a;Rplp2;Rpl27;Rps21;Rpl41;Rplp0;Zswim8;Rplp1;Rpl13a;Rpl36al,,R-HSA-9011289;R-HSA-9014652;R-HSA-9011313;R-HSA-9014610;R-HSA-9011300,Regulation of expression of SLITs and ROBOs
R-HSA-199977,ER to Golgi Anterograde Transport,27,164,0.011510387,3.96E-04,,0.01465263,27,39,0.003168671,9606,Homo sapiens,Lman1;Tuba1b;Tuba1a;Lman2;Tuba1c;Kdelr2;Sec24d;Sec13;Tmed9;Sec16a;Fkbp11;Preb;Arfgap1;Cope;Tubb5;Tubb3;Tubb2b;Tubb2a;Trappc9;Tubb1;Ank1;F5;Tuba4a;Tubb4b;Tubb4a,,R-HSA-5694421;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-6809006;R-HSA-5694431;R-HSA-203977;R-HSA-5694428;R-HSA-6809003;R-HSA-6809011;R-HSA-6809010;R-HSA-6807868;R-HSA-5694413;R-HSA-6807866;R-HSA-5694409;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694439;R-HSA-5694436;R-HSA-5694435;R-HSA-5694433;R-HSA-5694446;R-HSA-5694441,ER to Golgi Anterograde Transport
R-HSA-9619483,Activation of AMPK downstream of NMDARs,10,34,0.0023863,4.73E-04,,0.017027723,1,3,2.44E-04,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-9619542,Activation of AMPK downstream of NMDARs
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,9,29,0.002035373,6.15E-04,,0.02151803,2,2,1.62E-04,9606,Homo sapiens,Tubb5;Tubb3;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Tuba4a;Tubb4b;Tubb4a,,R-HSA-389970;R-HSA-389980,Prefoldin mediated transfer of substrate  to CCT/TriC
